Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
11/3/2023,53.5757,73.2044,820076,-79.0241,53.59,3.10E+08,5772803,0.0101
11/2/2023,53.3433,72.8765,767656,8.0015,53.35,1.89E+08,3549827,0.01
11/1/2023,52.644,72.0296,771704,28.9542,52.73,1.95E+08,3722592,0.0102
10/31/2023,52.243,71.3934,719239,40.7664,52.2611,1.82E+08,3473010,0.01
10/30/2023,51.778,70.715,754704,-10.4267,51.7645,1.71E+08,3296354,0.01
10/27/2023,51.168,69.8874,1029216,63.1113,51.1587,2.49E+08,4815090,0.01
10/26/2023,51.5797,70.4708,965762,0,51.5857,2.21E+08,4238360,0.01
10/25/2023,51.9588,71.0271,1239067,19.6184,51.9929,2.26E+08,4311794,0.01
10/24/2023,52.4776,71.719,914996,50.1961,52.4994,1.84E+08,3484229,0.01
10/23/2023,52.1233,71.2306,732783,0,52.1419,1.66E+08,3146034,0.01
10/20/2023,52.3277,71.4748,841799,6.5859,52.3207,1.80E+08,3403501,0.01
10/19/2023,52.7752,72.1125,917975,0,52.7875,2.22E+08,4153708,0.01
10/18/2023,53.1873,72.6416,664577,36.148,53.1748,1.63E+08,3029292,0.01
10/17/2023,53.6814,73.3471,690802,0,53.6913,1.57E+08,2903716,0.01
10/16/2023,53.5568,73.1708,624387,0,53.5621,1.72E+08,3184078,0.0101
10/13/2023,53.0702,72.5331,941506,8.0152,53.0953,1.84E+08,3437035,0.0101
10/12/2023,53.0923,72.5466,975473,0,53.1053,1.82E+08,3391245,0.0101
10/11/2023,53.3788,72.9401,766289,-1.3436,53.3933,1.45E+08,2707299,0.01
10/10/2023,53.2113,72.7095,762445,-32.146,53.2245,1.75E+08,3272903,0.0101
10/9/2023,52.9199,72.3024,610871,0,52.9265,1.33E+08,2503240,0.0101
10/6/2023,52.6345,71.9225,912085,-1.3249,52.6484,2.51E+08,4768293,0.0101
10/5/2023,52.2128,71.3527,946726,-7.8857,52.2313,2.21E+08,4213067,0.01
10/4/2023,52.4246,71.6919,877305,84.4555,52.4796,3.18E+08,6039204,0.0101
10/3/2023,52.0649,71.0949,2325076,34.0746,52.0426,3.98E+08,7589436,0.0101
10/2/2023,52.5919,71.8547,972206,55.6007,52.5988,2.53E+08,4792900,0.0101
9/29/2023,52.7873,72.1736,717860,61.5398,52.8338,2.51E+08,4681324,0.0101
9/28/2023,52.9833,72.4027,716271,102.0519,53.0015,2.69E+08,5007270,0.01
9/27/2023,52.777,72.0928,542253,93.6293,52.7746,2.51E+08,4692620,0.0099
9/26/2023,52.8622,72.2275,1677918,85.7421,52.8733,3.05E+08,5683251,0.01
9/25/2023,53.5394,73.1573,665298,0,53.5539,1.63E+08,3006286,0.01
9/22/2023,53.3918,72.9821,805416,101.4857,53.4257,1.93E+08,3547790,0.0099
9/21/2023,53.4318,73.0495,1011875,0,53.475,2.39E+08,4383791,0.0099
9/20/2023,54.1988,74.0871,720548,10.9887,54.2345,1.82E+08,3292854,0.0102
9/19/2023,54.3737,74.3431,743699,104.7301,54.422,2.06E+08,3740487,0.01
9/18/2023,54.5036,74.4914,615223,-2.7626,54.5305,1.40E+08,2533192,0.01
9/15/2023,54.4222,74.3701,743246,49.6532,54.4417,1.92E+08,3465192,0.0101
9/14/2023,54.8344,74.9091,752847,0,54.8363,1.50E+08,2703819,0.01
9/13/2023,54.4947,74.4914,971516,89.771,54.5305,1.70E+08,3085085,0.01
9/12/2023,54.3964,74.3566,1039653,13.786,54.4318,1.81E+08,3269573,0.0099
9/11/2023,54.6208,74.6531,1082229,38.7601,54.6488,1.79E+08,3234772,0.0099
9/8/2023,54.4021,74.3566,955123,44.1199,54.4318,1.78E+08,3233708,0.0099
9/7/2023,54.3809,74.3027,1099847,62.0194,54.3924,2.73E+08,4945002,0.0099
9/6/2023,54.2434,74.1949,1334062,41.2417,54.3135,2.24E+08,4071135,0.0099
9/5/2023,54.2845,74.1949,816905,-1.3758,54.3135,1.64E+08,2965756,0.0099
9/1/2023,54.6073,74.5992,807817,47.0542,54.6094,1.75E+08,3164929,0.01
8/31/2023,54.457,74.4543,1046165,59.7091,54.5027,2.27E+08,4070579,0.0099
8/30/2023,54.6016,74.6418,1385168,37.5914,54.64,2.44E+08,4378491,0.0099
8/29/2023,54.4736,74.4409,736505,76.3954,54.4929,2.15E+08,3871605,0.0099
8/28/2023,54.0584,73.8784,727372,60.6505,54.0811,2.09E+08,3789621,0.0098
8/25/2023,53.7993,73.5301,493044,31.5517,53.8262,1.83E+08,3348722,0.0102
8/24/2023,53.397,72.981,616840,17.7002,53.4242,1.75E+08,3200687,0.0099
8/23/2023,53.8481,73.5569,833594,87.8757,53.8458,1.87E+08,3412955,0.01
8/22/2023,53.4241,73.0078,914440,40.8674,53.4438,1.97E+08,3604946,0.01
8/21/2023,53.5119,73.1417,709546,10.9159,53.5419,1.57E+08,2877566,0.0099
8/18/2023,53.4234,73.0078,721643,0,53.4438,1.80E+08,3313402,0.0099
8/17/2023,53.4248,73.0078,946854,-125.328,53.4438,2.10E+08,3834165,0.0099
8/16/2023,53.7591,73.423,920292,113.7755,53.7478,3.59E+08,6538085,0.0099
8/15/2023,54.0154,73.8382,1000515,8.2639,54.0517,2.03E+08,3682900,0.0099
8/14/2023,54.563,74.548,809267,34.7822,54.5713,1.82E+08,3269030,0.0099
8/11/2023,54.3829,74.3605,606842,4.1601,54.4341,1.62E+08,2922162,0.01
8/10/2023,54.3206,74.24,966577,9.6957,54.3458,2.21E+08,3977648,0.0098
8/9/2023,54.2476,74.1328,834833,-6.9162,54.2674,1.69E+08,3050578,0.0099
8/8/2023,54.3324,74.2534,1042579,29.0936,54.3556,2.53E+08,4570363,0.0099
8/7/2023,54.5228,74.4945,1468773,-2.7805,54.5321,2.29E+08,4127016,0.0099
8/4/2023,54.015,73.8382,1276309,-23.4143,54.0517,2.75E+08,4962703,0.0098
8/3/2023,54.2028,74.0659,1050748,-37.3168,54.2184,2.30E+08,4161298,0.0099
8/2/2023,54.3252,74.1596,1226861,-16.6227,54.287,2.55E+08,4596861,0.0099
8/1/2023,54.4866,74.4275,1258720,113.9258,54.4831,2.20E+08,3966334,0.0098
7/31/2023,54.4267,74.4536,1150780,79.5185,54.5024,2.84E+08,5094748,0.0098
7/28/2023,54.4183,74.3737,1190228,51.6093,54.4438,2.43E+08,4359121,0.0098
7/27/2023,54.2608,74.2138,1178600,123.782,54.3268,2.84E+08,5089890,0.0098
7/26/2023,54.4969,74.4936,1073635,34.9215,54.5316,2.41E+08,4311634,0.0099
7/25/2023,54.4578,74.387,1053586,73.9805,54.4536,2.60E+08,4649543,0.0099
7/24/2023,54.4948,74.5069,1149703,-231.87,54.5414,4.41E+08,7898198,0.0098
7/21/2023,54.5003,74.4536,904838,86.6108,54.5024,1.99E+08,3560848,0.0098
7/20/2023,54.2931,74.1738,1605730,-15.308,54.2975,2.43E+08,4363114,0.0098
7/19/2023,54.0837,73.9207,1341283,36.043,54.1122,2.51E+08,4522552,0.0098
7/18/2023,54.0323,73.8141,1173057,77.5574,54.0342,2.48E+08,4478855,0.0098
7/17/2023,54.0093,73.7875,974991,27.6873,54.0147,2.50E+08,4518853,0.0098
7/14/2023,53.9493,73.7075,919391,23.508,53.9562,2.23E+08,4039335,0.0098
7/13/2023,53.8432,73.5343,1532751,77.2859,53.8294,2.69E+08,4867854,0.0098
7/12/2023,53.8438,73.5876,1492533,133.8715,53.8684,3.37E+08,6094830,0.0098
7/11/2023,53.6653,73.3478,1191934,27.5109,53.6928,2.25E+08,4096551,0.0098
7/10/2023,53.517,73.0946,1386301,35.6653,53.5075,2.55E+08,4643747,0.0098
7/7/2023,53.1876,72.7082,1071002,32.7192,53.2247,2.21E+08,4042193,0.0099
7/6/2023,53.3726,72.8814,1187940,-6.8402,53.3514,2.72E+08,4975015,0.0099
7/5/2023,53.5745,73.2145,906399,54.9287,53.5953,1.97E+08,3590615,0.0098
7/3/2023,53.6259,73.2811,9900,#N/A N/A,53.6441,1.60E+08,2907693,0.0103
6/30/2023,53.5811,73.2424,644366,0,53.6155,4.24E+08,7666305,0.0098
6/29/2023,53.3349,72.885,1356725,190.7661,53.3538,2.51E+08,4573050,0.0098
6/28/2023,53.1251,72.6202,1013769,125.217,53.16,2.77E+08,5060953,0.0097
6/27/2023,53.2332,72.7526,1018341,91.8301,53.2569,2.74E+08,4989623,0.0097
6/26/2023,53.026,72.5143,1128155,148.3258,53.0825,2.26E+08,4131122,0.0097
6/23/2023,52.8983,72.329,868474,97.131,52.9468,2.07E+08,3785310,0.0098
6/22/2023,53.0418,72.5011,903672,60.0489,53.0728,1.91E+08,3496964,0.0099
6/21/2023,53.0588,72.4878,778242,84.8439,53.0631,2.06E+08,3765347,0.0098
6/20/2023,52.9508,72.3687,838208,68.4445,52.9759,2.09E+08,3827748,0.0099
6/16/2023,53.1472,72.607,812338,20.4915,53.1503,1.95E+08,3558581,0.0097
6/15/2023,53.091,72.5408,732185,122.0341,53.1019,2.38E+08,4341776,0.0097
6/14/2023,52.8324,72.1569,973329,13.6972,52.8209,2.51E+08,4593336,0.0099
6/13/2023,52.9192,72.2893,873593,39.5284,52.9178,2.35E+08,4313274,0.0098
6/12/2023,52.7863,72.1701,1107558,73.7255,52.8306,2.23E+08,4099738,0.0097
6/9/2023,52.7389,72.0642,1062960,-6.8093,52.753,3.52E+08,6459155,0.0097
6/8/2023,52.8152,72.1569,902858,-146.949,52.8209,1.88E+08,3450135,0.0097
6/7/2023,52.7172,72.0245,950324,27.2521,52.724,2.54E+08,4669403,0.0097
6/6/2023,52.592,71.8789,1282838,32.6418,52.6174,2.37E+08,4366755,0.0097
6/5/2023,52.6483,72.0245,1007548,65.1286,52.724,3.27E+08,6011962,0.0098
6/2/2023,52.6756,71.9716,1150622,35.3157,52.6852,2.80E+08,5167462,0.0097
6/1/2023,52.2589,71.3759,1037449,23.103,52.2492,2.69E+08,4999529,0.0098
5/31/2023,51.9894,71.0269,925602,109.2083,51.992,3.10E+08,5734473,0.0097
5/30/2023,52.0006,71.0664,818940,126.9406,52.0209,3.16E+08,5850201,0.0097
5/26/2023,52.0879,71.1847,1094275,90.4985,52.1075,2.53E+08,4665938,0.0097
5/25/2023,51.8478,70.856,926214,69.0026,51.8669,2.75E+08,5107955,0.0097
5/24/2023,51.7986,70.8034,994761,63.2975,51.8284,2.86E+08,5310616,0.0097
5/23/2023,52.2524,71.4214,1024894,157.4209,52.2807,2.99E+08,5497687,0.0097
5/22/2023,52.6922,72.013,1058279,31.2171,52.7138,2.28E+08,4157155,0.0097
5/19/2023,52.7908,72.1577,865013,38.3232,52.8197,3.85E+08,7014158,0.0097
5/18/2023,52.7646,72.1051,741547,-50.7363,52.7812,2.47E+08,4526271,0.0097
5/17/2023,52.6068,71.921,736877,12.3351,52.6465,3.71E+08,6800703,0.0097
5/16/2023,52.1954,71.3425,891710,-42.3606,52.223,4.28E+08,7857243,0.0097
5/15/2023,52.6488,71.9342,1165781,257.5991,52.6561,1.81E+08,3311253,0.0096
5/12/2023,52.6066,71.8421,736603,92.9942,52.5887,1.77E+08,3242595,0.0097
5/11/2023,52.55,71.8027,664202,30.0623,52.5598,1.85E+08,3383588,0.0097
5/10/2023,52.6446,71.8947,702414,35.4899,52.6272,1.99E+08,3639441,0.0097
5/9/2023,52.4772,71.7238,1054338,62.9028,52.5021,1.82E+08,3326297,0.0097
5/8/2023,52.6269,71.921,833011,9.5417,52.6465,2.03E+08,3708272,0.0097
5/5/2023,52.646,71.9473,793368,144.9013,52.6657,2.44E+08,4470569,0.0098
5/4/2023,52.0608,71.1847,992249,20.5123,52.1075,2.59E+08,4792256,0.0097
5/3/2023,52.3084,71.5266,960975,0,52.3577,2.65E+08,4841015,0.01
5/2/2023,52.6381,71.9999,1076376,144.0241,52.7042,2.82E+08,5161694,0.0097
5/1/2023,52.9974,72.4075,1091515,19.1419,53.0026,2.32E+08,4217533,0.0097
4/28/2023,52.8684,72.2841,1113898,88.1034,52.9115,2.80E+08,5066154,0.0096
4/27/2023,52.4988,71.7491,1270360,153.6097,52.5199,3.76E+08,6862485,0.0096
4/26/2023,51.7853,70.7445,1241858,186.8906,51.7845,2.92E+08,5363748,0.0096
4/25/2023,52.1757,71.3316,1043038,104.3751,52.2143,2.55E+08,4652480,0.0096
4/24/2023,52.6624,71.9709,1129676,113.3564,52.6823,2.68E+08,4858351,0.0096
4/21/2023,52.5827,71.8666,1066930,100.6289,52.6059,2.32E+08,4211453,0.0096
4/20/2023,52.4923,71.723,828471,130.7572,52.5008,2.33E+08,4249681,0.0096
4/19/2023,52.4883,71.6969,1028259,52.213,52.4817,2.05E+08,3737112,0.0096
4/18/2023,52.4408,71.6839,803385,70.07,52.4722,1.95E+08,3548082,0.0096
4/17/2023,52.4552,71.6317,1014489,52.1618,52.434,1.96E+08,3572331,0.0096
4/14/2023,52.3058,71.4751,822078,118.0827,52.3194,1.71E+08,3115200,0.0096
4/13/2023,52.3877,71.5795,687461,46.5509,52.3958,2.05E+08,3740464,0.0097
4/12/2023,52.2198,71.3316,874241,56.2228,52.2143,2.09E+08,3823484,0.0096
4/11/2023,52.1565,71.2403,700829,76.546,52.1475,2.15E+08,3929169,0.0096
4/10/2023,52.0255,71.0446,868706,42.3224,52.0042,2.25E+08,4149312,0.0097
4/6/2023,51.9172,70.901,1159469,24.5125,51.8991,1.77E+08,3266949,0.0097
4/5/2023,51.8421,70.8488,866978,112.7947,51.8609,1.86E+08,3425166,0.0097
4/4/2023,51.7073,70.614,803890,5.428,51.689,1.99E+08,3678572,0.0096
4/3/2023,51.838,70.7967,908653,12.1813,51.8227,2.13E+08,3933586,0.0096
3/31/2023,51.6469,70.6607,856635,101.7674,51.7224,3.37E+08,6179842,0.0096
3/30/2023,51.3254,70.156,1118557,124.0337,51.353,2.32E+08,4289807,0.0095
3/29/2023,51.1292,69.8842,959511,83.9804,51.154,2.14E+08,3969244,0.0096
3/28/2023,50.7068,69.3018,898983,114.6943,50.7278,2.10E+08,3916341,0.0097
3/27/2023,50.6338,69.2371,1029738,96.3502,50.6804,2.09E+08,3910900,0.0096
3/24/2023,50.4421,68.9265,887563,42.7607,50.453,2.78E+08,5247757,0.0097
3/23/2023,50.0642,68.4089,661695,179.7136,50.0741,3.81E+08,7166913,0.0096
3/22/2023,49.9353,68.2795,924657,174.4036,49.9794,2.11E+08,3959890,0.01
3/21/2023,50.5567,69.1077,683741,60.6204,50.5857,1.99E+08,3745377,0.0097
3/20/2023,50.2435,68.603,758847,57.3722,50.2162,2.02E+08,3814665,0.0097
3/17/2023,49.7233,67.9818,916189,14.5857,49.7615,1.93E+08,3662531,0.0097
3/16/2023,50.2803,68.7453,615502,66.9243,50.3204,2.44E+08,4617494,0.0097
3/15/2023,49.6682,67.9559,820667,6.6347,49.7426,2.82E+08,5393146,0.0097
3/14/2023,50.0181,68.37,908229,34.0805,50.0457,2.43E+08,4611637,0.0097
3/13/2023,49.3911,67.5547,869983,77.8812,49.4489,3.07E+08,5874520,0.0103
3/10/2023,49.4303,67.4641,1104367,9.1243,49.3826,3.22E+08,6146291,0.01
3/9/2023,50.0247,68.383,1245563,22.1767,50.0552,2.70E+08,5065463,0.0096
3/8/2023,50.6494,69.2371,952492,42.2462,50.6804,2.11E+08,3948720,0.0098
3/7/2023,50.6205,69.1854,913065,46.7838,50.6425,3.72E+08,6938283,0.0096
3/6/2023,51.251,70.0266,1138758,128.2483,51.2582,2.05E+08,3773972,0.0095
3/3/2023,51.2147,69.923,1126028,29.7563,51.1825,2.42E+08,4499240,0.0098
3/2/2023,50.7419,69.3277,1043390,-10.8128,50.7467,1.84E+08,3459372,0.0096
3/1/2023,50.3143,68.7971,996279,10.713,50.3583,2.32E+08,4360343,0.0097
2/28/2023,50.5458,69.0782,972567,195.1922,50.5656,2.88E+08,5348012,0.0097
2/27/2023,50.7113,69.3478,1253613,193.5683,50.763,3.83E+08,7071670,0.0096
2/24/2023,50.5891,69.1552,1355982,179.3673,50.622,2.54E+08,4727841,0.0097
2/23/2023,50.9561,69.6817,1151158,118.3929,51.0074,2.20E+08,4055820,0.0095
2/22/2023,50.8666,69.5533,1044405,96.2146,50.9134,2.45E+08,4520806,0.0099
2/21/2023,50.987,69.746,1085375,91.9873,51.0544,2.98E+08,5479747,0.0099
2/17/2023,51.607,70.5036,1327722,104.4086,51.6091,2.16E+08,3952094,0.0098
2/16/2023,51.4594,70.3752,1261817,115.2853,51.5151,2.60E+08,4742182,0.0096
2/15/2023,51.753,70.7476,1394067,58.8464,51.7877,2.20E+08,4005242,0.0097
2/14/2023,51.6562,70.5679,1390723,93.5902,51.6561,2.71E+08,4925683,0.0096
2/13/2023,51.7648,70.7091,1881051,116.7691,51.7595,1.93E+08,3512007,0.0095
2/10/2023,51.4767,70.3367,1058678,156.9371,51.4869,2.39E+08,4380893,0.0105
2/9/2023,51.1148,69.9001,1432429,93.0906,51.1672,2.03E+08,3725138,0.0096
2/8/2023,51.3319,70.1441,1114377,54.3742,51.3458,2.39E+08,4377858,0.0098
2/7/2023,51.5069,70.3881,1264506,28.6677,51.5245,2.38E+08,4355460,0.0099
2/6/2023,51.4949,70.3624,1235495,58.9006,51.5057,2.52E+08,4600767,0.0097
2/3/2023,51.44,70.234,1439303,41.084,51.4117,4.55E+08,8327883,0.0096
2/2/2023,51.5196,70.555,1688920,158.6886,51.6467,5.32E+08,9691274,0.0097
2/1/2023,51.737,70.6834,1862835,0,51.7407,3.48E+08,6340438,0.0102
1/31/2023,51.6485,70.6657,1468021,96.3132,51.7276,3.89E+08,7036973,0.0099
1/30/2023,51.2486,70.0924,2055465,181.3866,51.3079,3.07E+08,5568170,0.0097
1/27/2023,51.2755,70.0924,1396971,215.7038,51.3079,3.07E+08,5570485,0.0097
1/26/2023,51.4018,70.309,1598067,142.9616,51.4665,5.34E+08,9693798,0.0098
1/25/2023,51.3982,70.2708,1683251,300.4076,51.4385,3.07E+08,5590147,0.0101
1/24/2023,51.4346,70.309,1518101,203.9321,51.4665,3.15E+08,5721266,0.0099
1/23/2023,51.3379,70.2198,1585162,219.2444,51.4012,3.54E+08,6425052,0.0098
1/20/2023,51.2986,70.0797,1807776,64.6863,51.2986,2.24E+08,4096376,0.0105
1/19/2023,50.8789,69.5956,1176806,105.8942,50.9443,2.40E+08,4390912,0.0102
1/18/2023,51.1752,69.9778,1198958,69.5638,51.224,3.20E+08,5801922,0.0098
1/17/2023,51.8059,70.7804,1352617,96.0359,51.8115,2.24E+08,4028733,0.0106
1/13/2023,51.9271,70.9587,1173756,34.7213,51.9421,2.02E+08,3628311,0.0102
1/12/2023,51.8335,70.7804,1213577,137.8179,51.8115,2.79E+08,5012990,0.0111
1/11/2023,51.739,70.7039,1397414,65.3107,51.7556,2.52E+08,4556383,0.0104
1/10/2023,51.408,70.309,1660423,49.9341,51.4665,2.57E+08,4676095,0.0103
1/9/2023,51.2602,70.0924,1476557,107.4981,51.3079,3.53E+08,6390574,0.0106
1/6/2023,51.4426,70.2963,1523221,122.3055,51.4571,2.70E+08,4908688,0.0123
1/5/2023,50.4774,69.0223,1418134,137.9111,50.5246,1.89E+08,3479956,0.0111
1/4/2023,51.0083,69.7357,1106839,52.7762,51.0468,1.93E+08,3526948,0.0118
1/3/2023,50.7272,69.3918,815362,98.4575,50.795,1.99E+08,3670129,0.0122
12/30/2022,50.7795,69.4172,638876,36.7181,50.8137,2.17E+08,4000273,0.0104
12/29/2022,51.0021,69.723,907678,89.848,51.0375,2.50E+08,4576856,0.0102
12/28/2022,50.4709,69.0259,1122846,82.038,50.5219,2.25E+08,4093167,0.0103
12/27/2022,50.9384,69.7193,941365,82.0421,51.0294,1.85E+08,3353391,0.0108
12/23/2022,50.8651,69.5554,799120,109.0226,50.9095,1.71E+08,3100635,0.0121
12/22/2022,50.5562,69.1268,827897,66.1464,50.5957,1.96E+08,3595000,0.0107
12/21/2022,50.9389,69.6311,914912,49.3084,50.9648,1.90E+08,3440659,0.0103
12/20/2022,50.2979,68.7737,849697,88.3231,50.3373,1.95E+08,3567495,0.011
12/19/2022,50.2529,68.7233,1023111,98.1131,50.3004,2.20E+08,4034635,0.0114
12/16/2022,50.5358,69.1141,833462,83.0491,50.5865,2.65E+08,4840156,0.0119
12/15/2022,51.0003,69.7319,1220505,86.255,51.0387,2.66E+08,4807272,0.0108
12/14/2022,51.9185,70.8666,1122799,93.9563,51.8692,2.13E+08,3769490,0.0127
12/13/2022,52.0145,71.0179,795910,28.1318,51.9799,3.20E+08,5682782,0.0117
12/12/2022,51.763,70.9044,871613,69.0502,51.8968,1.58E+08,2824778,0.0109
12/9/2022,51.2332,70.0345,708770,33.657,51.2601,1.68E+08,3010408,0.0114
12/8/2022,51.588,70.4505,661713,16.6562,51.5646,2.02E+08,3607188,0.0106
12/7/2022,51.2951,70.0975,947082,67.0864,51.3063,1.95E+08,3500415,0.0115
12/6/2022,51.233,70.0597,1389623,29.1836,51.2786,1.98E+08,3562831,0.0108
12/5/2022,51.5452,70.501,966059,72.1768,51.6016,1.89E+08,3369025,0.0099
12/2/2022,51.9016,70.8035,697320,16.7577,51.823,1.66E+08,2960838,0.0117
12/1/2022,51.7716,70.7531,699636,59.0574,51.7861,2.37E+08,4228194,0.0122
11/30/2022,51.7381,70.815,838791,126.2346,51.8319,2.43E+08,4311524,0.0116
11/29/2022,51.2176,70.0293,799015,73.6805,51.2568,1.84E+08,3274117,0.0114
11/28/2022,51.2333,70.0542,742375,119.2275,51.275,1.65E+08,2934474,0.0109
11/25/2022,51.5513,70.4908,698410,33.6746,51.5945,74073690,1311115,0.0111
11/23/2022,51.4005,70.2538,319832,88.9443,51.4211,1.39E+08,2472706,0.0122
11/22/2022,51.2948,70.1041,615126,56.3074,51.3116,1.92E+08,3419954,0.0113
11/21/2022,51.0095,69.7175,968336,84.2874,51.0286,2.39E+08,4278027,0.0109
11/18/2022,50.7423,69.3309,654955,196.974,50.7456,1.84E+08,3318101,0.0111
11/17/2022,50.3748,68.7946,1324204,77.821,50.3531,1.68E+08,3045986,0.0106
11/16/2022,50.4129,68.8445,569644,15.1755,50.3896,1.50E+08,2720409,0.0113
11/15/2022,50.1779,68.6699,750514,26.2321,50.2618,2.57E+08,4676962,0.0109
11/14/2022,50.1523,68.5452,793239,54.9681,50.1705,1.93E+08,3505786,0.01
11/11/2022,50.1,68.4703,539508,93.3981,50.1157,1.50E+08,2727402,0.0114
11/10/2022,50.3421,68.832,574765,41.1621,50.3804,2.58E+08,4690352,0.0112
11/9/2022,49.2717,67.2481,794370,53.7693,49.2211,1.39E+08,2560279,0.0103
11/8/2022,49.6924,67.9714,623543,36.4334,49.7506,2.19E+08,4025159,0.0112
11/7/2022,49.4258,67.5474,617175,118.399,49.4402,1.64E+08,3042389,0.0102
11/4/2022,49.0905,67.0984,649149,75.8019,49.1116,1.68E+08,3141558,0.0117
11/3/2022,48.6275,66.4499,625737,47.0548,48.6369,2.03E+08,3804271,0.0109
11/2/2022,48.7108,66.5372,617846,117.1933,48.7008,1.99E+08,3686348,0.0143
11/1/2022,49.2368,67.2356,687496,13.3402,49.212,1.63E+08,3024847,0.0121
10/31/2022,49.2244,67.3019,678927,126.7524,49.261,2.77E+08,5064159,0.0104
10/28/2022,49.2929,67.3759,1745453,115.8749,49.3152,1.82E+08,3344463,0.0123
10/27/2022,48.5693,66.3769,476002,86.0034,48.584,1.51E+08,2797049,0.0119
10/26/2022,48.396,66.1179,524812,76.6703,48.3944,2.01E+08,3752427,0.0114
10/25/2022,48.234,65.8959,763453,80.4176,48.2319,2.31E+08,4329641,0.0113
10/24/2022,47.788,65.3409,1237370,66.7904,47.8257,2.03E+08,3827137,0.0126
10/21/2022,47.3138,64.6626,1137487,60.8789,47.3292,1.12E+08,2154364,0.0146
10/20/2022,46.5985,63.6636,389820,53.7232,46.598,97742610,1883851,0.014
10/19/2022,47.0869,64.2803,382034,15.4861,47.0494,2.07E+08,3974410,0.0149
10/18/2022,47.373,64.7489,696430,82.1544,47.3924,1.55E+08,2947454,0.0148
10/17/2022,46.9541,64.1323,483192,49.8546,46.9411,1.58E+08,3039093,0.0126
10/14/2022,46.1346,63.0593,506714,28.6079,46.1557,1.48E+08,2885795,0.0144
10/13/2022,46.8059,63.9473,482249,17.8873,46.8057,2.56E+08,5004343,0.0144
10/12/2022,45.8995,62.751,780305,25.9251,45.93,1.28E+08,2510224,0.0118
10/11/2022,46.1589,63.0593,487747,64.8288,46.1557,1.68E+08,3286911,0.0125
10/10/2022,46.2132,63.2073,626155,7.67,46.264,1.52E+08,2958297,0.0123
10/7/2022,46.2885,63.2936,452861,20.4775,46.3272,1.55E+08,3006897,0.0118
10/6/2022,47.1173,64.4159,556411,20.5109,47.1487,1.52E+08,2895416,0.0118
10/5/2022,47.6459,65.1436,412499,41.7562,47.6813,1.59E+08,3027758,0.0118
10/4/2022,47.7763,65.3039,675635,-1.3195,47.7986,1.55E+08,2927731,0.015
10/3/2022,46.8301,64.0706,586806,30.432,46.8959,1.94E+08,3744816,0.0143
9/30/2022,45.7192,62.6032,581177,133.5836,45.8119,2.10E+08,4065025,0.0131
9/29/2022,46.3113,63.373,973127,35.7885,46.3753,1.48E+08,2852959,0.0129
9/28/2022,46.9583,64.2284,506117,25.8942,47.0013,1.44E+08,2749337,0.0167
9/27/2022,46.1999,63.1286,614368,73.5167,46.1964,1.83E+08,3522705,0.0144
9/26/2022,46.411,63.5686,795822,32.2899,46.5184,2.15E+08,4134240,0.0137
